t,segment,v,w,motor_id,rpm,current,pulse_count,dpps,cpr_est
1772005544.9375706,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005544.9376192,stop,0.0,0.0,1,0.0,0.0,0,nan,nan
1772005544.9376428,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005544.9383004,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005544.9383194,stop,0.0,0.0,1,0.0,0.0,0,nan,nan
1772005544.9383304,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005544.9502969,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005544.9503205,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005544.9503334,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005544.9704306,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005544.9704695,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005544.9704843,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005544.9907463,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005544.9907856,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005544.9907985,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.01159,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.0116568,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.0116847,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.0310662,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.0311484,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.0311747,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.0510702,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.0511217,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.0511475,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.070479,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.0705178,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.0705388,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.0908554,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.0909028,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.0909274,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.110786,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.1108303,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.1108568,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.1309004,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.1309445,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.1309662,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.1504157,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.1504548,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.1505184,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.170423,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.1704829,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.1705065,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.19037,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.1904073,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.1904294,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.210328,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.2103643,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.2103856,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.2304041,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.230444,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.2304664,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.2505848,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.2506232,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.2506442,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.2704976,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.2705333,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.2705543,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.2904718,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.2905068,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.2905278,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.3105283,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.3105645,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.3105857,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.330739,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.3307855,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.3308117,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.350612,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.3506525,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.350694,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.3703575,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.370398,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.3704212,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.3902824,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.390322,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.3903596,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.4109085,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.4109535,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.4109776,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.4309163,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.4309623,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.4309866,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.4505744,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.450619,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.4506426,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.4704988,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.4705417,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.4705653,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.4909012,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.4909449,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.4909682,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.510542,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.510584,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.510611,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.5307128,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.5307558,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.5307798,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.550118,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.5501544,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.5501769,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.5704532,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.5704958,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.5705187,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.5903604,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.5903974,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.59042,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.6103585,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.6103952,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.6104162,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.6303608,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.6303976,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.630433,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.6503081,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.6503427,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.6503644,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.670409,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.670451,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.6704752,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.690421,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.690463,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.6904874,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.710472,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.7105186,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.7105436,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.730585,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.7306309,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.7306552,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.7503376,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.7503817,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.7504082,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.7703357,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.7703788,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.770423,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.790205,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.7902415,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.7902644,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.810675,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.8107173,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.8107417,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.8306975,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.8307414,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.8307652,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.8505526,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.850597,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.8506215,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.8699908,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.87003,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.8700683,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.8899128,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.8899527,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.889975,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
1772005545.9101458,stop,0.0,0.0,0,0.0,0.0,0,0.0,nan
1772005545.910186,stop,0.0,0.0,1,0.0,0.0,0,0.0,nan
1772005545.9102087,stop,0.0,0.0,0,0.0,0.0,0,nan,nan
